keyword,search_volume,competition,low_top_of_page_bid,high_top_of_page_bid,cpc,2025_09,2025_08,2025_07,2025_06,2025_05,2025_04,2025_03,2025_02,2025_01,2024_12,2024_11,2024_10,growth_slope,growth_r2,growth_consistency,growth_stability,sustained_growth_score,yoy_trend_%,3month_trend_%
wind app,110000.0,4.0,0.18,2.2,1.49,135000.0,110000.0,110000.0,74000.0,74000.0,49500.0,74000.0,49500.0,135000.0,90500.0,201000.0,165000.0,7647.551766859499,0.020330860520964777,0.36363636363636365,1.0,0.0005579123669725727,22.22222222222222,82.32044198895028
century equipment,1600.0,4.0,2.01,9.51,23.41,1600.0,1600.0,1600.0,1600.0,1900.0,1900.0,1900.0,1600.0,1600.0,1300.0,1300.0,1600.0,-32.93443805125296,0.026004786695979498,0.36363636363636365,0.8403117520933168,-0.00015911061634384067,0.0,23.076923076923077
information service providers,140.0,0.0,0.12,0.4,0.24,260.0,140.0,90.0,140.0,140.0,140.0,140.0,140.0,170.0,140.0,140.0,140.0,-1.1733472641440714,0.34454864683153474,0.09090909090909091,0.5509167559441742,-0.00012897108784269232,-46.15384615384615,0.0
business future planning,590.0,7.0,0.04,2.42,0.77,390.0,480.0,390.0,480.0,590.0,590.0,720.0,590.0,590.0,590.0,720.0,720.0,21.426947333745645,0.9360714038469878,0.6363636363636364,1.0,0.024053360608614828,84.61538461538461,22.033898305084744
art supplies online,6600.0,86.0,0.14,1.69,1.63,6600.0,9900.0,5400.0,3600.0,4400.0,3600.0,4400.0,5400.0,14800.0,8100.0,9900.0,4400.0,311.944828754111,0.04054708308995092,0.45454545454545453,0.8517248733495568,0.000741917501658132,-33.33333333333333,-45.67901234567901
clinic management software,5400.0,21.0,0.12,1.18,0.96,8100.0,3600.0,3600.0,5400.0,6600.0,4400.0,4400.0,4400.0,5400.0,3600.0,4400.0,5400.0,-74.92945614924948,0.3882096023984497,0.36363636363636365,0.5885826216643817,-0.0012025415843392817,-33.33333333333333,50.0
street lighting,110000.0,78.0,0.03,0.7,0.33,135000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,135000.0,135000.0,135000.0,2163.7610817341238,0.011700751433842527,0.2727272727272727,0.9393030740884627,5.5276215265689704e-05,0.0,0.0
inner confidence,390.0,2.0,0.04,0.83,0.22,390.0,320.0,720.0,320.0,320.0,320.0,390.0,320.0,480.0,390.0,390.0,390.0,-0.23688885597498963,0.04759507592521073,0.2727272727272727,0.7567684792360859,-5.845326193653574e-06,0.0,0.0
essential oil kit,1900.0,100.0,0.32,1.92,1.26,1900.0,1600.0,1300.0,1600.0,1600.0,1600.0,1600.0,1600.0,1900.0,3600.0,2900.0,1900.0,122.97648619878632,0.3995275509798526,0.7272727272727273,0.9299274421627978,0.018310316166239186,0.0,-47.22222222222222
secondhand watches,110.0,100.0,0.22,0.71,0.37,70.0,90.0,90.0,90.0,70.0,90.0,70.0,90.0,170.0,210.0,90.0,90.0,5.2893978842766085,0.6338960278725456,0.6363636363636364,0.8131065110597822,0.018214182773770272,28.57142857142857,-57.14285714285714
business expansion,6600.0,5.0,0.04,8.75,2.07,6600.0,5400.0,4400.0,5400.0,6600.0,6600.0,6600.0,6600.0,6600.0,8100.0,12100.0,9900.0,481.963665472079,0.572269764984777,0.8181818181818182,1.0,0.03462962429646812,50.0,22.22222222222222
degree programs,90500.0,13.0,0.03,0.36,0.38,165000.0,135000.0,135000.0,110000.0,74000.0,74000.0,74000.0,60500.0,74000.0,49500.0,40500.0,60500.0,-7498.690373602358,0.9619899160742337,0.0,0.36710944403536566,-0.0,-63.33333333333333,22.22222222222222
plant nutrients,14800.0,44.0,0.03,0.72,0.43,14800.0,12100.0,14800.0,14800.0,14800.0,14800.0,14800.0,14800.0,14800.0,12100.0,14800.0,14800.0,-22.709428787013003,0.03736241578182231,0.8181818181818182,0.971238354838062,-4.7085683629124244e-05,0.0,22.31404958677686
online appointment,27100.0,13.0,0.09,6.12,3.21,18100.0,22200.0,22200.0,22200.0,18100.0,18100.0,22200.0,22200.0,27100.0,27100.0,49500.0,60500.0,3029.4237469961945,0.5585406488768716,0.8181818181818182,1.0,0.0587762515729355,234.2541436464088,123.24723247232473
master key system,9900.0,54.0,0.16,1.06,0.98,9900.0,8100.0,8100.0,9900.0,12100.0,8100.0,9900.0,8100.0,8100.0,8100.0,9900.0,12100.0,70.90058183336805,0.0019054264927398368,0.45454545454545453,0.9785420182507386,6.499650308664667e-06,22.22222222222222,49.382716049382715
hole cover plate,480.0,100.0,0.34,2.0,0.44,480.0,480.0,590.0,480.0,590.0,590.0,590.0,480.0,590.0,480.0,590.0,590.0,3.47232220473353,0.5792469277130341,0.6363636363636364,0.9905572218818753,0.0023763513772149577,22.916666666666664,22.916666666666664
stage makeup kit,1000.0,96.0,0.24,0.86,0.75,1000.0,720.0,720.0,590.0,880.0,1000.0,1000.0,880.0,1000.0,1600.0,1900.0,1300.0,85.4940918703401,0.5343932095128376,0.5454545454545454,0.9848069717930749,0.025595410784862084,30.0,-18.75
factory safety shoes,390.0,79.0,0.09,1.14,0.6,390.0,390.0,480.0,320.0,320.0,320.0,320.0,480.0,390.0,480.0,590.0,480.0,16.635658975550893,0.21232640872072328,0.5454545454545454,1.0,0.004842854562218186,23.076923076923077,0.0
rain boots sale,1000.0,100.0,0.12,0.77,0.48,1000.0,880.0,1000.0,590.0,880.0,880.0,1000.0,880.0,880.0,1000.0,1600.0,1000.0,36.743692054941334,0.16673143546511715,0.5454545454545454,0.9648288079645958,0.0034460992200460337,0.0,0.0
location mapping,368000.0,5.0,0.01,0.07,0.12,301000.0,368000.0,301000.0,368000.0,368000.0,368000.0,301000.0,301000.0,368000.0,368000.0,368000.0,368000.0,3303.3829134517687,0.41299977267475463,0.7272727272727273,1.0,0.0029211536151491206,22.259136212624583,0.0
community building,22200.0,4.0,0.14,3.14,2.35,27100.0,22200.0,18100.0,22200.0,22200.0,22200.0,27100.0,27100.0,33100.0,18100.0,27100.0,27100.0,346.6981997190137,0.1166831202605938,0.7272727272727273,0.9444591817122046,0.0011504919025932161,0.0,49.72375690607735
customer response,590.0,0.0,0.06,1.23,1.83,480.0,390.0,480.0,480.0,480.0,590.0,720.0,590.0,590.0,590.0,590.0,720.0,16.25118987867333,0.8504660342287679,0.9090909090909091,1.0,0.023755183101047,50.0,22.033898305084744
risk assessment tools,6600.0,25.0,0.06,0.88,1.3,14800.0,8100.0,8100.0,5400.0,5400.0,5400.0,5400.0,4400.0,4400.0,4400.0,5400.0,5400.0,-340.9567393377579,0.7691409597330605,0.18181818181818182,0.3504352437806145,-0.0022570545346439577,-63.51351351351351,22.727272727272727
business phone service,18100.0,18.0,0.37,3.09,5.48,22200.0,14800.0,14800.0,22200.0,12100.0,12100.0,14800.0,14800.0,18100.0,27100.0,12100.0,49500.0,1432.7549327906902,0.027769627681336728,0.36363636363636365,1.0,0.0008058542903338191,122.97297297297298,82.65682656826569
refillable bottles,3600.0,86.0,0.21,2.48,0.53,4400.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,2900.0,3600.0,3600.0,3600.0,3600.0,-16.720483548386166,0.6288692377677948,0.36363636363636365,0.8076553418780836,-0.0008381724860348165,-18.181818181818183,0.0
loan approval software,50.0,1.0,0.31,2.17,1.15,90.0,10.0,10.0,10.0,30.0,390.0,50.0,50.0,40.0,30.0,20.0,10.0,-6.678816757523197,0.004017542781831418,0.18181818181818182,0.2544260717594843,-1.874302853867595e-05,-88.88888888888889,-66.66666666666666
stock broker app,1000.0,65.0,1.02,12.37,11.28,880.0,880.0,880.0,720.0,1000.0,1000.0,880.0,880.0,1900.0,1000.0,1000.0,1000.0,24.92700114057645,0.6055925549942984,0.2727272727272727,0.8833142637532572,0.0037611439037718874,13.636363636363635,0.0
client proposals,390.0,10.0,0.6,12.57,4.28,390.0,390.0,390.0,320.0,390.0,390.0,480.0,480.0,390.0,320.0,390.0,390.0,-1.4323143758240657,0.09463883804363737,0.5454545454545454,0.8988268693512067,-0.0001691177346968454,0.0,21.875
glass bottle supplier,8100.0,33.0,0.11,2.97,2.74,8100.0,6600.0,8100.0,12100.0,12100.0,8100.0,8100.0,6600.0,8100.0,6600.0,8100.0,8100.0,-159.68729599707788,0.010932332418567947,0.45454545454545453,0.7644084855941987,-7.174399122822242e-05,0.0,22.727272727272727
figurine factory,4400.0,1.0,0.08,0.37,0.47,3600.0,4400.0,4400.0,4400.0,4400.0,4400.0,5400.0,4400.0,4400.0,5400.0,5400.0,5400.0,115.12280411984725,0.9010561245822295,0.8181818181818182,1.0,0.018997903266343538,50.0,0.0
ceramic bathtub,3600.0,100.0,0.18,3.31,0.92,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
green metrics,480.0,1.0,0.21,3.14,2.18,590.0,390.0,480.0,480.0,590.0,480.0,480.0,390.0,480.0,590.0,480.0,720.0,9.978132169528969,0.0002570681261072627,0.5454545454545454,0.9584372058100976,2.6659110394335624e-06,22.033898305084744,22.033898305084744
walking gear sale,50.0,100.0,0.39,1.28,0.83,50.0,40.0,30.0,20.0,30.0,50.0,40.0,40.0,110.0,50.0,40.0,50.0,1.9484937696135924,0.25166295494210555,0.36363636363636365,0.8452344848408023,0.0034188557551991625,0.0,0.0
concept marketing,22200.0,1.0,0.05,1.9,2.85,27100.0,18100.0,14800.0,18100.0,22200.0,22200.0,22200.0,27100.0,27100.0,22200.0,27100.0,27100.0,649.1772595194172,0.1417519521967182,0.6363636363636364,0.9385520456042242,0.002456060958052147,0.0,22.07207207207207
law enforcement gear,2400.0,90.0,0.34,1.63,1.33,1900.0,1900.0,1900.0,2400.0,1900.0,1900.0,1900.0,1900.0,2400.0,2400.0,2400.0,2400.0,50.571209205753185,0.6769619023685557,0.45454545454545453,1.0,0.007619939182478917,26.31578947368421,0.0
ethnic traditional wear,2400.0,91.0,0.01,0.17,0.03,2900.0,2900.0,1300.0,1300.0,1600.0,1600.0,1900.0,1600.0,2400.0,1300.0,2400.0,6600.0,187.6242621840059,0.018610355668988943,0.36363636363636365,1.0,0.0005937896290548603,127.58620689655173,407.6923076923077
gas detector,49500.0,100.0,0.2,1.61,0.86,49500.0,40500.0,40500.0,40500.0,40500.0,40500.0,49500.0,49500.0,60500.0,49500.0,49500.0,49500.0,949.3912467761884,0.2948294615908147,0.2727272727272727,0.9898918014225121,0.0016501238754600797,0.0,0.0
tv type comparison,170.0,51.0,0.1,0.83,0.54,110.0,140.0,140.0,110.0,110.0,110.0,140.0,140.0,140.0,210.0,320.0,170.0,12.568892945432557,0.5910425718520804,0.6363636363636364,0.9462934175151793,0.032080497126592764,54.54545454545454,-19.047619047619047
example invoices,33100.0,80.0,1.0,6.44,2.03,33100.0,27100.0,33100.0,33100.0,33100.0,33100.0,40500.0,33100.0,33100.0,33100.0,40500.0,40500.0,638.7384184531337,0.6946478533778188,0.6363636363636364,1.0,0.008440677621287869,22.356495468277945,22.356495468277945
first aid supplies,9900.0,100.0,1.08,8.85,6.12,9900.0,9900.0,12100.0,8100.0,9900.0,8100.0,9900.0,8100.0,12100.0,9900.0,6600.0,8100.0,-157.83201196433262,0.39275316583429853,0.36363636363636365,0.7958864013652655,-0.0018619382023525876,-18.181818181818183,-18.181818181818183
lowcode tools,1600.0,24.0,1.82,16.73,10.51,1900.0,1000.0,1300.0,1300.0,1900.0,1900.0,1900.0,1900.0,1900.0,1300.0,1600.0,1600.0,-0.2965835852141049,0.11260252719622632,0.45454545454545453,0.8577857171709632,-8.053522376728088e-06,-15.789473684210526,23.076923076923077
account software,33100.0,31.0,0.61,25.73,14.56,9900.0,6600.0,6600.0,9900.0,9900.0,27100.0,246000.0,49500.0,27100.0,6600.0,8100.0,12100.0,-2142.0120611970606,0.2739678413901806,0.36363636363636365,0.2980643023588467,-0.0019440644276271862,22.22222222222222,83.33333333333334
solar charger,40500.0,100.0,0.1,0.98,0.47,33100.0,33100.0,33100.0,40500.0,40500.0,40500.0,40500.0,33100.0,40500.0,40500.0,40500.0,49500.0,794.5438335144712,0.8260490798732485,0.7272727272727273,1.0,0.01280679494059413,49.546827794561935,22.22222222222222
phase detector,2400.0,54.0,0.04,1.94,0.7,1900.0,1900.0,1900.0,1900.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2900.0,2900.0,79.1064788537945,0.9464067905613744,0.7272727272727273,1.0,0.02486674763289075,52.63157894736842,20.833333333333336
session scheduling,390.0,5.0,0.1,20.48,5.06,590.0,320.0,320.0,260.0,320.0,480.0,480.0,390.0,320.0,260.0,320.0,390.0,-7.243969193339715,0.32775220204979494,0.2727272727272727,0.5965130690081563,-0.0009928308443303497,-33.89830508474576,50.0
playground features,210.0,26.0,0.67,2.49,3.06,170.0,210.0,260.0,170.0,260.0,320.0,170.0,170.0,390.0,110.0,170.0,170.0,-5.1958739562738305,0.06582859148780795,0.45454545454545453,0.7260028844347483,-0.000523553234580863,0.0,54.54545454545454
spring bed frame,880.0,100.0,0.39,2.96,0.93,880.0,1000.0,880.0,880.0,720.0,880.0,880.0,720.0,880.0,880.0,880.0,880.0,0.5422964765567934,0.37361007286043435,0.6363636363636364,0.9103164815626269,0.0001350616991974763,0.0,0.0
stock trading platform,40500.0,47.0,0.1,9.34,5.78,27100.0,33100.0,40500.0,33100.0,40500.0,110000.0,40500.0,18100.0,33100.0,49500.0,14800.0,22200.0,-2067.096610569393,0.04262081427356723,0.45454545454545453,0.4974522968002207,-0.0005079377888286648,-18.081180811808117,-55.15151515151515
memory upgrade,3600.0,15.0,0.45,2.26,1.78,3600.0,3600.0,2900.0,2900.0,2900.0,2900.0,5400.0,3600.0,3600.0,2900.0,5400.0,6600.0,204.70914385779437,0.3693537633236852,0.2727272727272727,1.0,0.005734281428286499,83.33333333333334,127.58620689655173
emergency roof repair,12100.0,14.0,0.37,3.5,5.74,22200.0,9900.0,6600.0,9900.0,12100.0,12100.0,14800.0,12100.0,18100.0,8100.0,6600.0,8100.0,-461.05257674075426,0.3041127906230493,0.36363636363636365,0.4421421416179068,-0.0017621646474595943,-63.51351351351351,0.0
caregiver help,1000.0,45.0,1.56,7.15,6.62,720.0,720.0,880.0,880.0,1000.0,1000.0,1300.0,880.0,1300.0,1000.0,1300.0,1000.0,29.027085954045166,0.9303740446269816,0.6363636363636364,0.9637614810264963,0.017582831141632206,38.88888888888889,0.0
currency converter,5000000.0,1.0,0.01,0.74,0.38,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,6120000.0,5000000.0,5000000.0,6120000.0,5000000.0,5000000.0,6120000.0,41736.181103118084,0.6630329267068453,0.2727272727272727,1.0,0.0014529749939569373,22.400000000000002,22.400000000000002
lane marking paint,40.0,100.0,1.15,6.66,1.53,110.0,30.0,40.0,50.0,50.0,20.0,40.0,30.0,30.0,20.0,30.0,40.0,-2.428905238618693,0.6571359231524992,0.09090909090909091,0.3014603952124995,-0.0009145030195500338,-63.63636363636363,100.0
best choice mattresses,70.0,100.0,0.69,5.56,1.2,50.0,70.0,50.0,90.0,90.0,70.0,110.0,70.0,40.0,70.0,90.0,70.0,0.13126328801631704,0.3564157907144815,0.5454545454545454,0.8546765380530037,0.0003106395223612153,40.0,0.0
data integrity tools,320.0,7.0,0.08,11.72,7.88,390.0,210.0,170.0,260.0,260.0,210.0,210.0,170.0,260.0,170.0,1300.0,260.0,40.707553765890985,0.09357591683230781,0.36363636363636365,0.8416568518220583,0.003994428856921845,-33.33333333333333,52.94117647058824
space stock photos,720.0,6.0,1.07,6.7,5.94,590.0,590.0,590.0,720.0,720.0,720.0,720.0,590.0,590.0,590.0,720.0,720.0,2.4867443835266667,0.3303059340625042,0.5454545454545454,0.9661924363834657,0.0006726813526496183,22.033898305084744,22.033898305084744
accountability groups,880.0,17.0,0.82,5.06,3.01,880.0,720.0,720.0,720.0,720.0,880.0,1000.0,880.0,1300.0,1000.0,880.0,1000.0,24.305636490891036,0.5618662898422877,0.5454545454545454,0.9746978217167731,0.008431528024175707,13.636363636363635,0.0
teeth whitening strips,201000.0,100.0,0.36,2.6,1.31,201000.0,246000.0,246000.0,246000.0,246000.0,201000.0,201000.0,165000.0,165000.0,165000.0,165000.0,135000.0,-8891.524606643003,0.5816422955437143,0.36363636363636365,0.6788803075602284,-0.006102972549967308,-32.83582089552239,-18.181818181818183
railway models,33100.0,61.0,0.08,0.36,0.34,27100.0,27100.0,27100.0,22200.0,27100.0,27100.0,33100.0,33100.0,40500.0,49500.0,33100.0,33100.0,1306.3120326015207,0.72329227043717,0.5454545454545454,0.9300637559270594,0.015936486231671047,22.14022140221402,-33.131313131313135
procurement procedure,1600.0,9.0,0.32,7.08,2.53,1300.0,1300.0,1600.0,1600.0,1600.0,1600.0,1900.0,1900.0,1900.0,1300.0,1900.0,1900.0,28.74831706800553,0.8507495417400028,0.8181818181818182,0.990147635084904,0.012531117350740898,46.15384615384615,46.15384615384615
secretarial courses,4400.0,23.0,0.19,3.6,2.76,3600.0,3600.0,4400.0,3600.0,4400.0,4400.0,4400.0,4400.0,5400.0,2900.0,3600.0,3600.0,-45.36172645815805,0.2482671829548666,0.5454545454545454,0.8286591580802203,-0.0012667993171218566,0.0,24.137931034482758
engagement ring price,9900.0,87.0,0.3,2.42,1.77,9900.0,8100.0,8100.0,8100.0,9900.0,9900.0,9900.0,8100.0,9900.0,14800.0,22200.0,9900.0,736.1832922537285,0.5106436446444832,0.5454545454545454,0.9045589722945184,0.018549538871076358,0.0,-33.108108108108105
wireless charging pad,27100.0,97.0,0.08,0.83,0.49,33100.0,33100.0,33100.0,27100.0,22200.0,18100.0,22200.0,18100.0,22200.0,27100.0,27100.0,22200.0,-346.1318635721221,0.7378914869366786,0.2727272727272727,0.7222543012596048,-0.0018759745264450608,-32.93051359516616,-18.081180811808117
copy machine rental,9900.0,10.0,0.12,2.76,5.64,22200.0,12100.0,6600.0,12100.0,8100.0,9900.0,9900.0,8100.0,8100.0,6600.0,6600.0,5400.0,-671.0153847438067,0.7319542264831231,0.09090909090909091,0.31815275508168583,-0.0012615990112764379,-75.67567567567568,-18.181818181818183
dream bed frame,1900.0,100.0,0.18,1.52,1.03,1900.0,1900.0,1600.0,1600.0,1600.0,1900.0,1900.0,1900.0,2400.0,1900.0,1900.0,1900.0,23.118370226829413,0.2392533739482433,0.36363636363636365,0.9644833955813981,0.0010505112801386875,0.0,0.0
cosmetics bundle,4400.0,100.0,0.37,3.07,1.11,3600.0,3600.0,3600.0,2900.0,3600.0,2900.0,2900.0,2400.0,2900.0,6600.0,9900.0,9900.0,607.0963728405584,0.32811122895849476,0.45454545454545453,1.0,0.023279992666030723,175.0,50.0
short stay accommodation,2400.0,39.0,0.11,1.65,0.93,2400.0,1900.0,2900.0,1300.0,1600.0,2400.0,2400.0,2400.0,2400.0,2400.0,1900.0,1900.0,-4.752440813212669,0.0038144477223367446,0.5454545454545454,0.8523130935791048,-3.861514268534457e-06,-20.833333333333336,-20.833333333333336
ada compliant doors,1900.0,3.0,2.02,9.61,3.14,3600.0,2900.0,3600.0,2900.0,2900.0,2400.0,2400.0,1300.0,1000.0,880.0,720.0,880.0,-263.69766977339015,0.94469432614361,0.09090909090909091,0.32621835436280655,-0.0029402627884421995,-75.55555555555556,0.0
train program,110000.0,15.0,0.05,0.55,0.83,135000.0,201000.0,135000.0,135000.0,110000.0,110000.0,74000.0,60500.0,74000.0,49500.0,74000.0,110000.0,-6485.034548504595,0.8397002245635532,0.18181818181818182,0.4934930391248148,-0.004189876904587714,-18.51851851851852,122.22222222222223
summer courses,12100.0,16.0,0.23,2.4,1.8,4400.0,5400.0,8100.0,14800.0,33100.0,27100.0,22200.0,8100.0,6600.0,5400.0,5400.0,4400.0,-1200.6371890104863,0.07443269981484213,0.5454545454545454,0.368894222789756,-0.0014751721586381812,0.0,-18.51851851851852
document shredders,4400.0,100.0,0.3,2.74,1.44,2900.0,3600.0,4400.0,5400.0,3600.0,4400.0,5400.0,4400.0,5400.0,4400.0,4400.0,3600.0,14.062476775095535,0.6208812436392415,0.5454545454545454,0.892538622901053,0.0010129697069059468,24.137931034482758,-18.181818181818183
medicine cabinet,74000.0,100.0,0.37,1.88,1.14,74000.0,74000.0,74000.0,60500.0,74000.0,74000.0,74000.0,74000.0,90500.0,74000.0,74000.0,74000.0,465.05876532064025,0.2697540819987262,0.45454545454545453,0.9622185061887623,0.0007434727675680929,0.0,0.0
fleet driver training,590.0,25.0,1.11,5.4,4.73,260.0,260.0,210.0,320.0,720.0,480.0,390.0,480.0,480.0,170.0,1600.0,1600.0,94.43488172432477,0.6587738932940842,0.6363636363636364,1.0,0.08868678649355055,515.3846153846155,841.1764705882354
note pad prices,4400.0,90.0,0.01,0.17,0.05,4400.0,4400.0,4400.0,3600.0,3600.0,3600.0,4400.0,3600.0,4400.0,4400.0,4400.0,5400.0,80.69489846079406,0.005541810135294867,0.45454545454545453,1.0,4.8917754307920114e-05,22.727272727272727,22.727272727272727
priority management software,170.0,72.0,9.81,48.07,18.52,20.0,10.0,10.0,10.0,10.0,10.0,10.0,40.0,1900.0,50.0,70.0,10.0,27.220986056742237,0.4489149868707294,0.18181818181818182,0.375585916923248,0.005875964512852669,-50.0,-80.0
energy efficient display,260.0,89.0,0.18,0.74,0.47,210.0,260.0,210.0,210.0,210.0,210.0,260.0,210.0,260.0,210.0,320.0,320.0,7.993102154745651,0.4385548554269413,0.45454545454545453,1.0,0.0069037983046632105,52.38095238095239,52.38095238095239
home design series,720.0,6.0,0.06,2.74,1.88,590.0,720.0,720.0,1300.0,1000.0,720.0,720.0,590.0,720.0,590.0,590.0,720.0,-22.120873715098067,0.004959257653960103,0.45454545454545453,0.7110478016599803,-4.694797147472782e-05,22.033898305084744,22.033898305084744
corner cabinet system,70.0,100.0,0.68,3.52,0.61,50.0,70.0,50.0,70.0,70.0,50.0,70.0,50.0,90.0,50.0,70.0,50.0,0.010775561602979041,0.3151749160488485,0.5454545454545454,0.8811661268789067,2.6706948181796745e-05,0.0,0.0
office tables,201000.0,100.0,0.08,0.91,0.59,165000.0,165000.0,165000.0,135000.0,135000.0,165000.0,450000.0,201000.0,201000.0,165000.0,201000.0,165000.0,413.12638527024535,0.3508166180349296,0.18181818181818182,0.7693733408812403,0.000107725308516703,0.0,0.0
land surveying service,2900.0,5.0,1.26,6.05,5.19,5400.0,5400.0,4400.0,5400.0,3600.0,2900.0,3600.0,1900.0,1900.0,1000.0,1000.0,1000.0,-412.4579690327227,0.9704456552064871,0.09090909090909091,0.29794432088088585,-0.0028825892820932212,-81.48148148148148,0.0
road risk assessment,90.0,52.0,1.08,6.36,3.97,170.0,70.0,50.0,50.0,70.0,110.0,110.0,110.0,90.0,70.0,50.0,70.0,-2.8433787730439435,0.26792310337633385,0.2727272727272727,0.436656393711335,-0.0009792156598645236,-58.82352941176471,0.0
aging hair care,480.0,34.0,0.19,0.67,0.71,1900.0,320.0,390.0,260.0,480.0,480.0,390.0,260.0,260.0,210.0,260.0,320.0,-45.3645179080018,0.595726042818667,0.09090909090909091,0.15937271660810268,-0.000648313874453311,-83.15789473684211,52.38095238095239
creative community,1600.0,1.0,0.09,1.84,9.35,1600.0,1600.0,1300.0,1300.0,1600.0,1600.0,1600.0,1600.0,1600.0,1300.0,1600.0,1600.0,3.1563356173696726,0.0001933393321281729,0.6363636363636364,0.9664606817067269,2.4633435346564696e-07,0.0,23.076923076923077
style trends,74000.0,35.0,0.02,0.77,0.6,60500.0,74000.0,74000.0,74000.0,135000.0,110000.0,74000.0,74000.0,74000.0,60500.0,60500.0,74000.0,-2254.002345702749,0.040992900365327656,0.5454545454545454,0.7185794682491321,-0.00045999330542601576,22.31404958677686,22.31404958677686
smart tv accessories,720.0,100.0,0.02,0.51,0.16,480.0,390.0,480.0,1300.0,880.0,390.0,590.0,480.0,590.0,1000.0,1000.0,880.0,31.927608685400866,0.41257680043567757,0.5454545454545454,1.0,0.011024278565585155,83.33333333333334,-12.0
custom mirror,9900.0,100.0,0.64,3.66,2.91,9900.0,12100.0,9900.0,8100.0,9900.0,9900.0,12100.0,9900.0,12100.0,12100.0,14800.0,9900.0,258.4753822126054,0.4035962067793881,0.6363636363636364,0.9397619118359956,0.005858954576914682,0.0,-18.181818181818183
campaign consulting,320.0,13.0,2.4,9.6,12.91,260.0,170.0,140.0,210.0,320.0,320.0,320.0,260.0,390.0,590.0,720.0,260.0,31.85179128093775,0.7344621399541056,0.6363636363636364,0.8552083549456638,0.043368366995888946,0.0,-55.932203389830505
change management,110000.0,24.0,1.3,8.21,8.56,110000.0,90500.0,90500.0,90500.0,110000.0,110000.0,135000.0,110000.0,135000.0,110000.0,135000.0,165000.0,4386.098573127954,0.6789302329206931,0.5454545454545454,1.0,0.014793298154743263,50.0,50.0
nose ring,550000.0,97.0,0.22,0.86,0.37,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,550000.0,450000.0,550000.0,550000.0,450000.0,550000.0,7060.3235984895655,0.8094502924720225,0.36363636363636365,0.9957180771331539,0.004379983605290428,22.22222222222222,0.0
job applications,22200.0,31.0,0.43,4.39,2.71,27100.0,27100.0,27100.0,33100.0,33100.0,18100.0,18100.0,14800.0,22200.0,22200.0,18100.0,14800.0,-1050.9704002948727,0.7130475442143245,0.36363636363636365,0.6100050269617411,-0.0067665375677510645,-45.38745387453875,-33.33333333333333
business owner course,320.0,63.0,2.33,17.17,14.37,210.0,320.0,260.0,390.0,390.0,390.0,390.0,320.0,390.0,320.0,320.0,260.0,-2.271804747118544,0.4728441544411762,0.5454545454545454,0.8582554696387628,-0.0015605173262793167,23.809523809523807,-18.75
software solution,33100.0,13.0,0.04,0.69,0.65,40500.0,49500.0,60500.0,49500.0,27100.0,27100.0,33100.0,27100.0,33100.0,18100.0,18100.0,22200.0,-2563.516766453675,0.7688037327640685,0.18181818181818182,0.46392027694042814,-0.004429440291861249,-45.18518518518518,22.65193370165746
cloud provisioning,1900.0,5.0,0.03,5.98,0.95,1900.0,1600.0,1900.0,1600.0,1900.0,1900.0,2900.0,2400.0,2900.0,2400.0,2400.0,1900.0,49.023920353719404,0.733311956114615,0.5454545454545454,0.923904111938745,0.008778252682115666,0.0,-20.833333333333336
bar equipment,12100.0,100.0,0.29,1.85,1.36,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0,12100.0,9900.0,12100.0,12100.0,12100.0,12100.0,244.23648463638503,0.8448371826814361,0.45454545454545453,1.0,0.008941996391679332,22.22222222222222,0.0
rifle cover,1300.0,1.0,0.44,0.97,1.03,1600.0,1300.0,1000.0,880.0,1000.0,880.0,1000.0,1000.0,1000.0,1300.0,1600.0,1900.0,53.72423281093135,0.08776114739333063,0.5454545454545454,0.9037905532530006,0.0019662707458225656,18.75,46.15384615384615
roadside assistance,301000.0,43.0,1.54,7.73,7.59,246000.0,301000.0,368000.0,301000.0,246000.0,301000.0,301000.0,246000.0,301000.0,246000.0,246000.0,246000.0,-5065.7607157160055,0.07025206948764662,0.45454545454545453,0.8126035864906709,-0.00046442415859444016,0.0,0.0
residential lot,1300.0,10.0,0.22,1.89,1.35,720.0,1000.0,880.0,880.0,720.0,720.0,8100.0,880.0,880.0,590.0,720.0,720.0,-80.38413396992125,0.1662614419573426,0.18181818181818182,0.3503164379462085,-0.0006192168104651366,0.0,22.033898305084744
care packages,9900.0,100.0,0.71,5.51,4.09,9900.0,8100.0,8100.0,8100.0,9900.0,8100.0,9900.0,8100.0,9900.0,9900.0,14800.0,9900.0,328.13955636695977,0.31427138889462813,0.45454545454545453,0.9691130064888379,0.004907987777506205,0.0,0.0
